control_number,species_code,taxa,class,genus,species,subspecies,specific_name,generic_name,description,quantity,unit,value,country_origin,country_imp_exp,purpose,source,action,disposition,disposition_date,disposition_year,shipment_date,shipment_year,import_export,port,us_co,foreign_co,cleaning_notes
NA,DEIM,amphibian,Amphibia,Dendrobates,imitator,NA,MIMIC,POISON-ARROW FROG,LIV,35,NO,NA,PE,PE,T,W,C,C,1999-12-28,1999,1999-12-28,1999,I,MI,NA,NA,NA
NA,DTRV,amphibian,Amphibia,Epipedobates,trivittatus,NA,THREE-STRIPED,POISON-ARROW FROG,LIV,50,NO,NA,PE,PE,T,W,C,C,1999-12-28,1999,1999-12-28,1999,I,MI,NA,NA,NA
NA,HYLA,amphibian,Amphibia,Hyla,sp.,NA,TREE,FROG,LIV,1200,NO,NA,ID,ID,T,U,C,C,1999-02-10,1999,1999-02-09,1999,I,MI,NA,NA,NA
NA,MCH?,amphibian,Amphibia,Microhyla,sp.,NA,RICE,FROG,LIV,45,NO,NA,ID,ID,T,U,C,C,1999-02-10,1999,1999-02-09,1999,I,MI,NA,NA,NA
NA,AGCL,amphibian,Amphibia,Agalychnis,callidryas,NA,RED-EYED TREE,FROG,LIV,500,NO,NA,PA,PA,T,U,C,C,1999-05-12,1999,1999-05-12,1999,I,MI,NA,NA,NA
NA,DEAZ,amphibian,Amphibia,Dendrobates,azureus,NA,BLUE,POISON-ARROW FROG,LIV,500,NO,NA,PA,PA,T,F,C,C,1999-05-12,1999,1999-05-12,1999,I,MI,NA,NA,NA
NA,RMAC,amphibian,Amphibia,Rana,macrodon,NA,NA,BULLFROG,LPS,7,NO,NA,ID,ID,T,U,C,C,1999-11-10,1999,1999-11-10,1999,I,MI,NA,NA,NA
NA,SAL?,amphibian,Amphibia,Salamandra,sp.,NA,FIRE,SALAMANDER,LIV,212,NO,NA,CZ,CZ,T,W,C,C,1999-11-10,1999,1999-10-03,1999,I,MI,NA,NA,NA
NA,BMAR,amphibian,Amphibia,Bufo,marinus,NA,NEOTROPICAL,TOAD,LPS,1,NO,NA,NI,NI,T,W,C,C,1999-11-30,1999,1999-11-30,1999,I,MI,NA,NA,NA
NA,BMAR,amphibian,Amphibia,Bufo,marinus,NA,NEOTROPICAL,TOAD,SHO,2,NO,NA,NI,NI,T,W,C,C,1999-11-30,1999,1999-11-30,1999,I,MI,NA,NA,NA
NA,DETI,amphibian,Amphibia,Dendrobates,tinctorius,NA,DYEING,POISON-ARROW FROG,LIV,6,NO,NA,SR,SR,T,W,C,C,1999-12-18,1999,1999-12-18,1999,I,MI,NA,NA,NA
NA,PNM?,amphibian,Amphibia,Phrynomerus,sp.,NA,NA,FROG,LIV,100,NO,NA,TZ,TZ,T,U,C,C,1999-10-27,1999,1999-10-27,1999,I,MI,NA,NA,NA
NA,AGCL,amphibian,Amphibia,Agalychnis,callidryas,NA,RED-EYED TREE,FROG,LIV,115,NO,NA,NI,NI,T,W,C,C,1999-12-23,1999,1999-12-20,1999,I,MI,NA,NA,NA
NA,KALO,amphibian,Amphibia,Kaloula,pulchra,NA,ASIATIC PAINTED,FROG,LIV,250,NO,NA,VN,VN,T,W,C,C,1999-11-11,1999,1999-11-11,1999,I,MI,NA,NA,NA
