control_number,species_code,taxa,class,genus,species,subspecies,specific_name,generic_name,description,quantity,unit,value,country_origin,country_imp_exp,purpose,source,action,disposition,disposition_date,disposition_year,shipment_date,shipment_year,import_export,port,us_co,foreign_co,cleaning_notes
2015786810,RACA,amphibian,Amphibia,Rana,catesbeinana,NA,NA,BULLFROG,LEG,19749,KG,NA,CN,CN,T,W,C,C,2015-12-31T00:00:00Z,2015,2016-01-03T00:00:00Z,2016,I,LA,NA,NA,NA
2015786886,RACA,amphibian,Amphibia,Rana,catesbeinana,NA,NA,BULLFROG,LEG,18800,KG,NA,CN,CN,T,W,C,C,2015-12-31T00:00:00Z,2015,2016-01-04T00:00:00Z,2016,I,LA,NA,NA,NA
2016787095,HYMC,amphibian,Amphibia,Hymenochirus,curtipes,NA,W. DWARF CLAWED,FROG,LIV,675,NO,NA,SG,SG,T,W,C,C,2016-01-02T00:00:00Z,2016,2016-01-02T00:00:00Z,2016,I,LA,NA,NA,NA
2016787118,HYMC,amphibian,Amphibia,Hymenochirus,curtipes,NA,W. DWARF CLAWED,FROG,LIV,1950,NO,NA,ID,ID,T,C,C,C,2016-01-03T00:00:00Z,2016,2016-01-03T00:00:00Z,2016,I,LA,NA,NA,NA
2016787118,LICA,amphibian,Amphibia,Litoria,caerulea,NA,WHITE'S TREE,FROG,LIV,25,NO,NA,ID,ID,T,C,C,C,2016-01-03T00:00:00Z,2016,2016-01-03T00:00:00Z,2016,I,LA,NA,NA,NA
2016787119,HYMC,amphibian,Amphibia,Hymenochirus,curtipes,NA,W. DWARF CLAWED,FROG,LIV,625,NO,NA,ID,ID,T,C,C,C,2016-01-03T00:00:00Z,2016,2016-01-03T00:00:00Z,2016,I,LA,NA,NA,NA
2016787119,HYMC,amphibian,Amphibia,Hymenochirus,curtipes,NA,W. DWARF CLAWED,FROG,LIV,1000,NO,NA,ID,ID,T,C,C,C,2016-01-03T00:00:00Z,2016,2016-01-03T00:00:00Z,2016,I,LA,NA,NA,NA
2016787138,RACA,amphibian,Amphibia,Rana,catesbeinana,NA,NA,BULLFROG,LIV,9000,KG,NA,TW,TW,T,R,C,C,2016-01-03T00:00:00Z,2016,2016-01-04T00:00:00Z,2016,I,LA,NA,NA,NA
2016787148,BUME,amphibian,Amphibia,Bufo,melanostictus,NA,BLACK-SPINED,TOAD,LIV,36,NO,NA,VN,VN,T,W,C,C,2016-01-03T00:00:00Z,2016,2016-01-03T00:00:00Z,2016,I,LA,NA,NA,NA
2016787148,KALO,amphibian,Amphibia,Kaloula,pulchra,NA,ASIATIC PAINTED,FROG,LIV,36,NO,NA,VN,VN,T,W,C,C,2016-01-03T00:00:00Z,2016,2016-01-03T00:00:00Z,2016,I,LA,NA,NA,NA
