genus,genus_aw
Afrana,Amietia
Afrilaxus,Afrixalus
Albericus,Choerophryne
Amietophrynus,Sclerophrys
Batrachylodes,Cornufer
Calluella,Glyphoglossus
Ceratobatrachus,Cornufer
Discodeles,Cornufer
Hypsiboas,Boana
Lithobates,Rana
Nelsonophryne,Ctenophryne
Ooedozyga,Occidozyga
Pachymedusa,Agalychnis
Phrynohyas,Trachycephalus
Phrynomerus,Phrynomantis
Phyrnobatrachus,Phrynobatrachus
Silurana,Xenopus
Speleomantes,Hydromantes
Tompterna,Tomopterna
Vibrissaphora,Leptobrachium
Xenobatrachus,Xenorhina
Typhlotriton,Eurycea
