genus,species,genus_aw,species_aw
Afrixalus,aequatorialis,Afrixalus,equatorialis
Afrixalus,cf. congicus,Afrixalus,sp.
Afrixalus,kisangani,Afrixalus,sp.
Afrixalus,pygmaeus,Afrixalus,sp.
Amietophrynus,funereus,Sclerophrys,funerea
Amietophrynus,kisangani,Sclerophrys,sp.
Amietophrynus,maculatus,Sclerophrys,maculata
Amietophrynus,sp. boda,Sclerophrys,sp.
Amietophrynus,sp. bombatia,Sclerophrys,sp.
Amietophrynus,sp. bombole,Sclerophrys,sp.
Amietophrynus,sp. palangima,Sclerophrys,sp.
Amphiuma,phloeter,Amphiuma,pholeter
Arthroleptis,sp. bamboo,Arthroleptis,sp.
Arthroleptis,sp. lubero,Arthroleptis,sp.
Atelopus,hogmooedi,Atelopus,hoogmoedi
Batrachylodes,elegands,Cornufer,elegans
Boophis,difficilis,Boophis,tephraeomystax
Boophis,goudoti,Boophis,goudotii
Boophis,rapiodes,Boophis,rappiodes
Brachycephalus,izeckesohni,Brachycephalus,izecksohni
Breviceps,mossambiscus,Breviceps,mossambicus
Bufo,carens,Schismaderma,carens
Bufo,conifer,Incilius,coniferus
Bufo,debilis,Anaxyrus,debilis
Bufo,gutteralis,Sclerophrys,gutturalis
Bufo,lescurei,Rhinella,lescurei
Bufo,rhinella,Bufonidae,sp.
Bufo,woodhousii,Anaxyrus,woodhousii
Calluella,guttulata,Glyphoglossus,guttulatus
Callulops,slateri,Asterophrys,slateri
Cardioglossa,leuco,Cardioglossa,leucomystax
Centrolene,ilex,Sachatamia,ilex
Chacophrys,pierotti,Chacophrys,pierottii
Chiromantis,xerapelina,Chiromantis,xerampelina
Cochranella,albomaculata,Sachatamia,albomaculata
Crepidophryne,epiotica,Incilius,epioticus
Cryptobranchus,alleganiensi,Cryptobranchus,alleganiensis
Dendrobates,bombetes,Andinobates,bombetes
Dendrobates,duellmani,Ranitomeya,ventrimaculata
Dendrobates,fulguritus,Andinobates,fulguritus
